screen_time_hours,bmi_percentile,fitted_values,residuals
4.0,40.5504485,65.03319357122388,-24.482745071223874
4.0,31.07256054,65.03319357122388,-33.96063303122388
0.5,18.46382222,62.102363610708615,-43.63854139070861
0.5,44.48848749,62.102363610708615,-17.613876120708618
1.0,17.10726474,62.521053605067934,-45.41378886506793
0.5,55.87295671,62.102363610708615,-6.229406900708618
0.5,71.73217243,62.102363610708615,9.62980881929139
0.5,64.30723303,62.102363610708615,2.2048694192913914
0.0,77.20364961,61.68367361634929,15.51997599365071
0.5,77.04936127,62.102363610708615,14.946997659291391
0.5,83.65146996,62.102363610708615,21.549106349291385
0.5,28.19590588,62.102363610708615,-33.90645773070861
0.0,70.31917473,61.68367361634929,8.635501113650712
1.5,74.73837182,62.93974359942726,11.798628220572738
0.5,29.93458107,62.102363610708615,-32.167782540708615
0.5,52.22408981,62.102363610708615,-9.878273800708612
0.5,24.60515146,62.102363610708615,-37.49721215070862
0.5,57.28656414,62.102363610708615,-4.815799470708612
0.5,9.166422739,62.102363610708615,-52.93594087170862
1.5,39.83290293,62.93974359942726,-23.106840669427257
2.0,41.29710255,63.358433593786586,-22.061331043786588
1.0,94.85089769,62.521053605067934,32.32984408493206
7.0,74.84675066,67.54533353737983,7.301417122620165
9.0,97.23364986,69.22009351481712,28.013556345182877
5.5,65.10834035,66.28926355430185,-1.1809232043018483
8.0,93.4942442,68.38271352609847,25.111530673901527
1.5,95.76721077,62.93974359942726,32.827467170572746
3.0,99.61995365,64.19581358250524,35.42414006749476
4.0,10.55214112,65.03319357122388,-54.481052451223874
1.0,55.13320687,62.521053605067934,-7.3878467350679315
0.0,39.03729713,61.68367361634929,-22.64637648634929
7.0,75.08579851,67.54533353737983,7.540464972620171
1.5,67.85584641,62.93974359942726,4.916102810572738
2.0,56.12271161,63.358433593786586,-7.235721983786583
2.5,72.77371208,63.77712358814591,8.996588491854084
3.0,75.42161697,64.19581358250524,11.225803387494764
1.0,71.40661886,62.521053605067934,8.885565254932061
2.0,80.55410129,63.358433593786586,17.19566769621342
5.0,78.9594291,65.87057355994253,13.088855540057466
3.5,30.14155853,64.61450357686456,-34.47294504686457
3.0,8.572778087,64.19581358250524,-55.623035495505235
6.0,52.16728949,66.70795354866118,-14.540664058661179
2.5,60.66321529,63.77712358814591,-3.1139082981459154
1.0,55.18146429,62.521053605067934,-7.339589315067933
3.0,63.00335407,64.19581358250524,-1.1924595125052377
0.5,28.86485531,62.102363610708615,-33.23750830070861
1.0,10.18249348,62.521053605067934,-52.338560125067936
5.0,15.52368583,65.87057355994253,-50.34688772994253
1.5,51.77995186,62.93974359942726,-11.159791739427263
0.5,41.73731334,62.102363610708615,-20.365050270708615
2.5,2.25e-06,63.77712358814591,-63.77712133814591
6.0,73.34615457,66.70795354866118,6.638201021338816
6.0,89.96770983,66.70795354866118,23.259756281338824
6.0,1.581399578,66.70795354866118,-65.12655397066118
2.5,27.29502022,63.77712358814591,-36.482103368145914
2.0,28.54864874,63.358433593786586,-34.80978485378658
5.0,42.9070731,65.87057355994253,-22.96350045994253
0.5,28.36149003,62.102363610708615,-33.740873580708616
2.0,76.12920997,63.358433593786586,12.77077637621342
2.5,87.16521278,63.77712358814591,23.388089191854093
5.0,71.24517665,65.87057355994253,5.374603090057477
3.0,50.642691,64.19581358250524,-13.553122582505239
2.0,90.7689509,63.358433593786586,27.410517306213407
4.0,97.31596569,65.03319357122388,32.28277211877612
4.5,2.702715023,65.4518835655832,-62.7491685425832
0.5,93.16003384,62.102363610708615,31.057670229291382
1.0,2.313488775,62.521053605067934,-60.20756483006793
7.0,99.17328495,67.54533353737983,31.627951412620163
1.0,63.47778733,62.521053605067934,0.9567337249320644
6.0,13.08187583,66.70795354866118,-53.62607771866118
5.0,45.28645414,65.87057355994253,-20.58411941994253
3.0,98.91230885,64.19581358250524,34.716495267494764
2.0,95.11584958,63.358433593786586,31.757415986213417
7.0,96.02199137,67.54533353737983,28.476657832620162
1.0,67.24002801,62.521053605067934,4.718974404932069
4.0,29.11078354,65.03319357122388,-35.922410031223876
0.5,91.15175113,62.102363610708615,29.04938751929138
1.0,7.402370058,62.521053605067934,-55.11868354706793
